Año;Provincia;Área de salud;Ratio de Medicina de familia;Ratio de Pediatría;Ratio de Enfermería;Ratio de Auxiliar administrativo;
2011;GRANADA;Granada;1517;1015;1906;2180
2011;GRANADA;A.G.S. Nordeste de Granada;1096;877;1185;1757
2011;GRANADA;A.G.S. Sur de Granada;1222;999;1156;2256
2011;GRANADA;Metropolitano de Granada;1454;1177;1866;3583
2011;HUELVA;Condado-Campiña;1584;1153;1957;2256
2011;HUELVA;Huelva-Costa;1477;1268;1722;3019
2011;HUELVA;A.G.S. Norte de Huelva;1120;500;1011;2141
2011;JAÉN;Jaén;1435;912;1709;2721
2011;JAÉN;Jaen Nordeste;1251;785;1387;2211
2011;JAÉN;Jaén Norte;1345;1046;1496;2419
2011;JAÉN;Jaén Sur;1312;1047;1359;2223
2011;JAÉN;A.G.S. Norte de Jaén;;;;
2011;MÁLAGA;A.G.S. Este de Málaga - Axarquia;1421;868;1792;2115
2011;MÁLAGA;Costa del Sol;1769;1417;2252;3621
2011;MÁLAGA;A.G.S. Norte de Málaga;1416;1240;1458;2057
2011;MÁLAGA;Málaga;1546;1202;1964;2593
2011;MÁLAGA;A.G.S. Serranía de Málaga;1208;1042;1235;1775
2011;MÁLAGA;Valle del Guadalhorce;1633;1356;1676;1742
2011;SEVILLA;Aljarafe;1644;1249;2023;3251
2011;SEVILLA;Sevilla;1483;945;1612;2474
2011;SEVILLA;A.G.S. de Osuna;1479;991;1574;4062
2011;SEVILLA;Sevilla Norte;1420;1183;1736;2212
2011;SEVILLA;A.G.S. Sur de Sevilla;1549;1112;1744;2957
2012;ALMERÍA;Almería;1420;1015;1692;2546
2012;ALMERÍA;A.G.S. Norte de Almería;1249;1115;1484;2968
2012;ALMERÍA;Poniente de Almería;1539;1257;2139;2925
2012;CÁDIZ;Bahía de Cádiz-La Janda;1473;1037;1660;3201
2012;CÁDIZ;A.G.S. Campo de Gibraltar;1547;992;1486;3174
2012;CÁDIZ;Jerez-Costa Noroeste;1575;1148;1927;3051
2012;CÁDIZ;Sierra de Cádiz;1390;1015;1458;2567
2012;CÁDIZ;A.G.S. Norte de Cádiz;;;;
2012;CÓRDOBA;Córdoba;1463;1088;1764;2713
2012;CÓRDOBA;A.G.S. Norte de Córdoba;1166;1082;998;2159
2012;CÓRDOBA;A.G.S. Sur de Córdoba;1444;1080;1672;3092
2012;CÓRDOBA;Guadalquivir;1357;953;1428;2565
2012;GRANADA;Granada;1438;1006;1817;2124
2012;GRANADA;A.G.S. Nordeste de Granada;1069;882;1160;1780
2012;GRANADA;A.G.S. Sur de Granada;1190;1008;1131;2209
2012;GRANADA;Metropolitano de Granada;1403;1181;1811;3477
2012;HUELVA;Condado-Campiña;1557;1157;1949;2311
