Año;Provincia;Área de salud;Frecuentación urgente;
2015;CÁDIZ;A.G.S. Campo de Gibraltar;0,77
2015;CÁDIZ;Jerez-Costa Noroeste;
2015;CÁDIZ;Sierra de Cádiz;
2015;CÁDIZ;A.G.S. Norte de Cádiz;0,73
2015;CÓRDOBA;Córdoba;0,27
2015;CÓRDOBA;A.G.S. Norte de Córdoba;0,92
2015;CÓRDOBA;A.G.S. Sur de Córdoba;0,92
2015;CÓRDOBA;Guadalquivir;1,47
2015;GRANADA;Granada;0,33
2015;GRANADA;A.G.S. Nordeste de Granada;0,81
2015;GRANADA;A.G.S. Sur de Granada;1,24
2015;GRANADA;Metropolitano de Granada;0,86
2015;HUELVA;Condado-Campiña;1,47
2015;HUELVA;Huelva-Costa;1,02
2015;HUELVA;A.G.S. Norte de Huelva;1,52
2015;JAÉN;Jaén;0,70
2015;JAÉN;Jaen Nordeste;
2015;JAÉN;Jaén Norte;
2015;JAÉN;Jaén Sur;1,04
2015;JAÉN;A.G.S. Norte de Jaén;1,26
2015;MÁLAGA;A.G.S. Este de Málaga - Axarquia;1,32
2015;MÁLAGA;Costa del Sol;0,75
2015;MÁLAGA;A.G.S. Norte de Málaga;0,76
2015;MÁLAGA;Málaga;0,15
2015;MÁLAGA;A.G.S. Serranía de Málaga;0,84
2015;MÁLAGA;Valle del Guadalhorce;1,31
2015;SEVILLA;Aljarafe;0,69
2015;SEVILLA;Sevilla;0,28
2015;SEVILLA;A.G.S. de Osuna;0,72
2015;SEVILLA;Sevilla Norte;1,90
2015;SEVILLA;A.G.S. Sur de Sevilla;0,71
2016;ALMERÍA;Almería;0,77
2016;ALMERÍA;A.G.S. Norte de Almería;1,89
2016;ALMERÍA;Poniente de Almería;1,08
2016;CÁDIZ;Bahía de Cádiz-La Janda;0,64
2016;CÁDIZ;A.G.S. Campo de Gibraltar;0,80
2016;CÁDIZ;Jerez-Costa Noroeste;
2016;CÁDIZ;Sierra de Cádiz;
2016;CÁDIZ;A.G.S. Norte de Cádiz;0,73
2016;CÓRDOBA;Córdoba;0,27
2016;CÓRDOBA;A.G.S. Norte de Córdoba;0,91
2016;CÓRDOBA;A.G.S. Sur de Córdoba;0,93
2016;CÓRDOBA;Guadalquivir;1,48
2016;GRANADA;Granada;0,36
2016;GRANADA;A.G.S. Nordeste de Granada;0,88
2016;GRANADA;A.G.S. Sur de Granada;1,25
2016;GRANADA;Metropolitano de Granada;0,80
2016;HUELVA;Condado-Campiña;1,52
2016;HUELVA;Huelva-Costa;1,05
2016;HUELVA;A.G.S. Norte de Huelva;1,56
2016;JAÉN;Jaén;0,70
2016;JAÉN;Jaen Nordeste;
2016;JAÉN;Jaén Norte;
2016;JAÉN;Jaén Sur;0,83
2016;JAÉN;A.G.S. Norte de Jaén;1,26
2016;MÁLAGA;A.G.S. Este de Málaga - Axarquia;1,34
2016;MÁLAGA;Costa del Sol;0,75
2016;MÁLAGA;A.G.S. Norte de Málaga;0,77
2016;MÁLAGA;Málaga;0,16
2016;MÁLAGA;A.G.S. Serranía de Málaga;0,89
2016;MÁLAGA;Valle del Guadalhorce;1,27
2016;SEVILLA;Aljarafe;0,69
2016;SEVILLA;Sevilla;0,28
2016;SEVILLA;A.G.S. de Osuna;0,75
2016;SEVILLA;Sevilla Norte;1,85
2016;SEVILLA;A.G.S. Sur de Sevilla;0,72
